City code,City name,Registered voters,Envelopes,Valid votes,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
572560,Banín,264,157,157,7,0,0,12,0,5,23,1,3,3,0,1,14,0,4,54,0,0,18,0,0,3,8,1
572586,Bělá nad Svitavou,413,238,237,16,0,0,24,2,9,20,3,1,2,0,1,16,0,6,99,0,1,11,0,1,1,23,1
505391,Bělá u Jevíčka,310,203,203,8,7,0,24,0,8,34,1,1,1,0,0,15,0,3,53,0,0,8,4,0,2,33,1
577774,Benátky,286,204,200,28,0,3,24,0,8,5,0,5,6,0,1,20,0,12,49,0,0,25,1,1,0,12,0
574309,Bezděčí u Trnávky,177,120,119,6,0,0,10,1,6,8,0,4,1,1,0,12,0,5,45,0,1,8,0,0,0,11,0
572519,Biskupice,370,224,224,13,0,0,26,0,31,40,2,2,1,1,0,21,0,0,55,0,0,12,0,0,2,17,1
577812,Bohuňov,134,101,100,6,0,0,6,0,3,9,0,0,2,0,0,7,0,0,28,0,0,22,1,0,0,16,0
577821,Bohuňovice,93,52,52,3,0,0,5,2,1,1,0,5,0,0,0,7,0,1,10,0,0,5,0,0,2,9,1
577839,Borová,804,544,542,67,15,0,48,1,27,50,7,1,12,0,2,64,1,11,135,0,1,72,1,1,0,22,4
572632,Borušov,147,84,84,5,2,0,5,0,5,24,1,1,0,0,0,5,0,2,21,0,1,2,0,0,3,6,1
577863,Brněnec,1091,621,618,41,0,0,66,2,15,77,9,18,3,0,0,40,0,11,227,1,2,28,1,2,3,72,0
577871,Březina,292,178,175,7,4,0,13,0,6,32,1,0,7,0,1,9,0,2,61,0,0,5,0,1,0,24,2
572250,Březinky,109,79,79,0,0,0,13,0,4,9,2,0,2,0,0,11,0,1,20,0,0,6,0,0,0,11,0
577898,Březiny,124,92,92,16,0,0,11,0,5,11,2,2,0,0,0,6,0,3,22,0,0,5,0,1,0,8,0
505145,Březová nad Svitavou,1289,686,679,66,2,0,92,0,16,60,4,6,12,0,1,73,1,29,188,0,3,25,4,4,5,86,2
577910,Budislav,373,249,249,19,0,0,9,0,37,19,1,3,0,0,0,16,0,9,75,0,0,31,1,0,0,28,1
577928,Bystré,1248,851,844,153,2,0,78,0,16,61,6,7,7,0,3,78,0,39,170,0,0,174,3,1,4,37,5
577936,Cerekvice nad Loučnou,651,414,411,42,0,4,27,0,33,26,3,6,9,1,2,43,0,14,127,0,2,30,2,2,1,33,4
577944,Čistá,773,475,472,37,1,1,24,1,32,46,4,10,4,2,0,49,0,15,145,0,1,37,1,0,1,57,4
572357,Desná,262,198,197,5,1,0,6,0,48,7,1,2,1,0,0,24,0,3,49,0,0,39,2,0,0,8,1
577961,Dětřichov,271,136,136,8,0,0,7,0,3,13,0,1,4,0,0,17,0,4,54,0,0,10,1,0,0,14,0
572683,Dětřichov u Moravské Třebové,168,99,99,5,0,0,10,0,4,26,0,0,2,0,0,9,0,1,27,0,0,4,0,0,0,11,0
577987,Dlouhá Loučka,446,245,242,5,0,0,18,0,1,38,2,2,2,0,1,12,0,3,118,0,1,9,2,0,1,27,0
577995,Dolní Újezd,1586,1128,1114,115,1,2,64,0,123,66,18,13,9,1,0,100,0,42,251,1,0,205,4,4,0,94,1
574325,Gruna,173,111,111,3,0,0,8,0,1,17,2,5,2,0,0,9,0,3,30,1,0,8,0,0,0,22,0
572284,Hartinkov,50,41,40,4,0,0,0,0,0,4,4,0,0,0,0,5,0,0,13,1,0,1,3,0,0,5,0
578037,Hartmanice,254,177,177,20,0,1,11,1,6,8,2,1,3,0,0,23,4,2,46,0,0,42,0,1,0,5,1
578053,Horky,92,72,72,5,0,0,3,0,14,2,0,1,2,0,1,12,0,0,15,0,0,4,2,0,0,11,0
572365,Horní Újezd,329,230,230,13,0,0,14,0,40,5,6,5,8,0,0,11,0,8,37,0,0,70,0,0,0,13,0
572691,Hradec nad Svitavou,1346,756,751,36,4,0,77,0,21,90,4,20,8,1,1,60,0,12,250,0,2,50,4,2,5,102,2
572730,Chmelík,153,104,104,9,0,0,8,1,1,11,1,1,1,0,0,4,0,6,24,0,2,10,1,0,0,24,0
578096,Chornice,717,387,385,29,1,0,34,0,19,42,1,8,6,0,0,56,1,3,88,1,2,28,1,0,3,60,2
578100,Chotěnov,108,74,74,4,0,0,2,0,21,7,0,0,0,0,0,7,0,7,10,0,0,12,0,0,0,4,0
578118,Chotovice,107,71,71,0,0,0,1,0,6,3,0,0,1,0,0,9,0,4,9,0,0,34,0,0,0,4,0
578126,Chrastavec,177,120,120,5,0,0,21,1,6,12,0,3,1,0,0,14,0,0,30,1,1,7,1,0,0,15,2
578134,Janov,760,412,410,41,0,0,34,1,20,29,10,16,9,0,1,43,0,14,118,0,1,39,3,1,2,26,2
578142,Janůvky,46,34,34,0,0,0,2,1,1,6,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,9,1
578151,Jaroměřice,986,545,543,37,0,1,64,0,17,68,4,7,1,0,2,39,0,16,188,0,2,41,7,0,1,47,1
578169,Jarošov,138,112,112,6,1,0,9,0,12,8,0,1,0,0,0,13,0,9,26,0,0,17,0,0,0,10,0
572713,Javorník,318,215,215,16,0,1,26,0,4,27,2,2,2,0,0,31,0,5,60,0,0,12,1,0,1,24,1
578185,Jedlová,846,479,479,50,2,0,60,0,18,35,7,9,4,0,1,42,0,15,153,0,1,44,1,1,1,33,2
578193,Jevíčko,2321,1412,1402,147,7,1,118,1,63,126,10,22,5,1,2,130,0,41,411,0,3,110,7,2,3,186,6
578207,Kamenec u Poličky,420,261,259,33,0,1,22,0,7,13,5,1,4,0,0,15,0,7,70,0,0,49,1,0,1,28,2
578215,Kamenná Horka,257,157,155,5,0,0,9,0,6,27,0,2,0,0,0,4,0,0,78,4,1,2,0,0,2,15,0
572748,Karle,333,165,164,9,0,0,13,0,4,22,0,2,0,0,0,11,0,3,53,0,0,8,0,3,1,35,0
578231,Koclířov,559,333,330,14,0,0,26,0,20,33,1,9,12,0,1,26,1,5,109,0,1,35,2,1,2,32,0
578258,Korouhev,638,424,421,61,0,0,24,1,18,42,2,10,6,0,0,45,0,14,117,1,0,39,6,2,2,29,2
578266,Koruna,110,59,57,2,0,0,2,1,1,7,1,1,1,0,0,2,0,0,21,0,1,1,0,0,2,14,0
578274,Křenov,323,175,175,10,0,0,14,0,2,27,1,3,4,0,0,10,0,4,66,1,0,5,0,0,1,27,0
572594,Kukle,65,52,52,7,1,0,1,0,6,0,1,1,3,0,0,10,0,1,17,0,0,2,0,0,0,2,0
578282,Kunčina,1104,577,577,51,4,0,40,0,19,57,1,4,6,0,0,58,0,12,221,1,1,30,2,3,0,65,2
578291,Květná,317,184,184,13,0,0,20,0,7,12,1,3,1,1,0,21,0,1,50,1,3,22,0,1,0,27,0
578304,Lavičné,100,64,64,3,0,0,6,0,0,13,0,1,0,0,0,4,0,0,22,0,0,3,0,0,0,12,0
578339,Linhartice,517,327,325,19,1,0,25,0,4,42,5,4,9,0,0,32,2,8,110,0,0,13,0,1,2,48,0
578347,Litomyšl,8061,5328,5299,893,4,4,313,5,234,275,77,50,71,3,6,579,10,411,1312,8,8,515,29,13,3,468,8
578355,Lubná,808,581,575,50,4,0,27,0,46,46,4,2,10,0,0,65,0,14,120,2,0,132,3,0,1,49,0
578363,Makov,252,186,185,10,0,0,2,2,19,10,3,2,1,1,1,14,2,6,51,0,0,51,0,0,2,8,0
578371,Malíkov,77,47,47,1,0,0,6,0,1,12,0,0,0,1,0,0,0,1,23,0,0,1,0,0,0,1,0
578380,Městečko Trnávka,1172,727,723,31,0,0,87,0,14,115,9,2,6,1,1,60,0,21,228,1,3,53,2,1,4,83,1
578398,Mikuleč,193,124,124,1,1,0,8,3,3,10,2,11,1,0,0,9,0,2,41,0,0,5,0,0,1,26,0
578401,Mladějov na Moravě,356,204,202,8,1,1,18,0,13,31,1,1,1,0,0,17,0,1,80,0,0,8,0,0,1,19,1
578428,Morašice,583,409,406,32,1,0,13,0,54,20,4,6,4,1,0,46,0,14,127,0,0,40,5,2,0,36,1
578444,Moravská Třebová,8431,4818,4794,394,15,4,532,5,144,560,48,51,71,6,1,433,6,119,1499,4,10,259,18,8,19,574,14
578452,Nedvězí,184,138,138,13,0,0,13,0,12,7,1,2,0,0,0,11,0,2,47,0,1,24,0,0,0,4,1
580694,Němčice,751,506,496,22,3,1,23,0,62,43,1,5,14,2,1,41,0,24,138,0,4,37,1,2,0,69,3
572608,Nová Sídla,179,120,120,5,1,0,6,0,12,5,2,2,2,0,0,9,0,5,46,1,0,13,1,0,0,10,0
572438,Nová Ves u Jarošova,54,36,36,5,0,0,2,0,1,1,2,1,0,0,0,2,0,0,10,0,0,6,0,0,1,5,0
578479,Oldřiš,533,347,346,25,4,1,24,2,18,20,0,3,1,0,0,19,1,15,100,1,0,76,3,0,2,31,0
578487,Opatov,926,491,487,26,7,0,47,1,73,56,11,4,1,0,0,33,0,10,135,0,0,29,1,2,1,47,3
572721,Opatovec,544,341,341,33,0,0,38,0,21,30,7,14,4,0,2,23,0,17,86,0,0,18,2,1,0,45,0
578509,Osík,821,593,587,78,1,0,43,2,47,52,8,4,6,2,2,44,1,32,144,0,1,61,3,2,3,49,2
578550,Pohledy,258,150,149,6,0,0,9,0,1,18,3,1,2,0,0,9,0,3,67,0,0,8,0,0,0,22,0
578576,Polička,7156,4643,4611,1056,2,4,352,3,99,319,63,46,74,4,2,436,3,168,1167,1,3,379,20,8,11,375,16
578584,Pomezí,974,553,551,73,2,1,42,2,19,54,6,4,6,2,0,44,0,15,164,0,0,45,3,1,2,65,1
572373,Poříčí u Litomyšle,360,287,284,19,1,0,11,0,81,12,4,1,4,0,1,20,1,11,51,0,0,47,0,0,0,19,1
578622,Příluka,133,103,101,4,0,1,7,0,16,10,0,1,0,0,0,12,0,3,24,0,0,16,0,0,0,7,0
578631,Pustá Kamenice,269,180,180,13,1,2,22,0,10,10,1,2,7,0,0,15,0,9,53,0,0,25,0,0,0,10,0
578649,Pustá Rybná,147,106,104,18,0,0,8,0,8,5,2,0,1,0,1,17,0,3,30,0,0,5,2,1,0,1,2
578657,Radiměř,909,485,483,29,1,1,52,0,23,60,4,7,8,0,1,35,0,9,151,1,2,29,0,3,7,58,2
574333,Radkov,99,63,61,2,0,0,8,0,2,16,1,0,0,0,0,4,0,2,22,0,0,0,0,0,0,4,0
578673,Rohozná,535,332,331,17,1,0,33,4,5,40,1,3,5,0,0,32,0,7,120,0,0,18,0,0,1,41,3
578681,Rozhraní,265,193,191,13,1,0,6,0,10,22,2,1,3,0,0,22,0,8,61,0,0,22,0,1,1,15,3
578690,Rozstání,194,126,120,1,0,0,11,0,7,31,0,0,0,0,0,4,0,0,50,0,0,5,0,0,0,11,0
578703,Rudná,135,79,79,1,0,0,12,0,4,20,1,2,1,0,0,2,0,2,21,0,1,0,0,0,0,10,2
578711,Rychnov na Moravě,498,243,241,8,0,1,27,0,14,18,2,3,4,0,0,19,0,6,91,0,0,19,0,1,0,28,0
572233,Řídký,60,43,43,8,0,0,4,0,3,1,1,0,0,0,0,6,0,3,8,0,0,6,0,0,0,3,0
578720,Sádek,405,266,265,42,0,0,18,0,9,11,3,2,1,0,0,17,0,12,76,0,3,51,0,0,0,20,0
578738,Sebranice,755,528,523,44,3,0,31,0,41,24,5,5,11,1,0,46,2,32,97,0,0,154,4,0,0,22,1
578746,Sedliště,191,127,127,10,0,0,6,0,17,8,2,3,4,0,0,5,0,3,39,0,0,4,0,0,4,22,0
578754,Sklené,192,94,94,3,0,0,8,0,1,10,1,4,0,0,0,7,0,0,30,0,0,7,0,0,0,23,0
578762,Slatina,124,83,81,3,0,0,6,1,6,10,1,1,0,0,0,5,0,0,32,0,0,9,1,0,0,5,1
580325,Sloupnice,1367,863,859,47,0,0,55,1,127,33,6,10,14,1,0,69,1,25,263,1,2,107,4,1,2,85,5
578789,Staré Město,787,452,451,30,3,0,34,2,8,55,10,7,7,0,0,44,0,11,157,0,1,8,0,3,2,69,0
578801,Stašov,206,108,107,7,0,0,8,0,1,4,1,2,2,0,0,17,0,4,41,0,0,9,0,0,0,11,0
578819,Strakov,191,127,126,8,1,0,8,1,9,5,0,7,0,1,0,18,0,9,38,0,0,11,1,1,0,8,0
578835,Suchá Lhota,76,54,54,8,0,0,4,0,11,0,0,0,0,0,0,1,0,2,11,0,0,13,0,1,0,3,0
577731,Svitavy,13548,7953,7905,742,8,3,777,6,185,737,98,139,102,1,7,917,6,235,2465,6,11,523,34,35,35,821,12
578843,Svojanov,321,235,233,41,0,0,16,0,6,10,3,3,12,0,0,21,0,4,64,0,0,25,2,0,1,24,1
578851,Široký Důl,328,201,200,25,0,0,8,0,14,8,5,1,5,0,0,14,0,17,45,1,0,44,0,2,0,11,0
578860,Študlov,111,71,71,9,0,0,6,0,2,15,0,0,0,0,0,6,0,1,21,0,0,2,0,3,0,6,0
578878,Telecí,325,201,199,12,0,0,30,0,7,7,3,1,6,0,0,22,0,7,62,0,0,25,2,3,1,11,0
578886,Trpín,339,246,246,20,0,1,34,0,6,23,4,7,1,0,0,11,1,2,57,0,1,62,1,0,2,13,0
578894,Trstěnice,406,276,275,13,0,1,18,0,25,23,3,3,2,0,0,28,0,18,73,0,0,35,1,2,0,30,0
572616,Tržek,147,87,84,7,0,0,8,0,11,7,1,2,0,0,0,15,1,2,8,0,0,13,0,1,0,7,1
578908,Třebařov,736,297,295,16,1,0,19,0,9,37,3,4,6,1,0,28,0,10,102,0,3,8,0,2,1,45,0
578916,Újezdec,79,52,49,4,0,0,5,0,5,3,0,2,0,0,0,4,0,2,15,0,0,5,0,0,0,4,0
572624,Útěchov,218,152,152,14,1,0,15,0,2,17,4,1,10,0,1,12,0,0,50,0,0,4,1,0,0,19,1
578932,Vendolí,757,425,421,20,0,0,37,0,52,45,1,10,4,0,0,36,0,10,129,0,2,20,5,2,1,46,1
578941,Vidlatá Seč,233,170,170,7,0,0,6,0,19,14,2,1,2,0,1,21,0,8,45,0,1,28,0,0,0,15,0
578959,Víska u Jevíčka,136,70,70,0,0,0,11,0,3,14,2,0,0,0,0,5,1,0,23,0,0,1,0,0,1,9,0
578967,Vítějeves,328,189,188,7,0,0,11,0,2,24,1,1,4,0,0,7,0,3,81,0,0,13,0,0,1,31,2
581127,Vlčkov,78,60,60,2,0,0,1,0,11,4,1,0,0,0,0,5,0,3,17,0,0,6,0,0,0,10,0
578975,Vranová Lhota,373,196,193,12,0,0,15,0,7,29,0,3,0,0,0,10,1,7,64,0,1,5,1,0,5,33,0
572292,Vrážné,58,44,44,4,2,0,0,0,5,2,1,0,6,0,0,11,0,1,10,0,0,1,0,0,0,1,0
578991,Vysoká,39,27,26,5,0,0,2,0,1,1,1,0,0,2,0,0,0,0,6,0,0,7,0,0,0,1,0
572195,Želivsko,28,20,20,1,0,0,0,0,1,4,0,2,1,0,0,2,0,0,6,0,0,0,1,0,0,2,0
